,,,,,,,,,,,,Total element; mass number is for detection limit determination.,,,,,,,,,,,,,,,,,,,,,,,,
"Be, V, As, and Tl had NIST1640a (independent source verification) recoveries that were somewhat off from the true values, although everything else looks pretty good.  ",,,,,,,,,,,,Negative values are below detection.,,,,,,,,,,,,,,,,,,,,,,,,
Metal Values in ppb (ng/mL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Location,Material,Replicate,Day.deploy,Weight (g),Unbrushed,Optical.density of 15 beads (@ 595 nm),Lithium /  7,Beryllium /  9,Sodium /  23,Magnesium /  24,Aluminum /  27,Potassium /  39,Calcium /  44,Vanadium /  51,Chromium /  52,Manganese /  55,Iron /  56,Cobalt /  59,Nickel /  60,Copper /  63,Zinc /  66,Gallium /  71,Arsenic /  75,Selenium /  78,Rubidium /  85,Strontium /  88,Silver /  107,Cadmium /  111,Cesium /  133,Barium /  137,Thallium /  205,Lead /  208,Uranium /  238,,
69,CMA,PLA,3,7,1.2069,Unbrushed,0.20024,0.1892,-0.01399,92.94,64.59,78.11,24.81,30.04,1.864,0.1052,5.506,156.6,0.08164,0.3844,0.369,1.422,0.03212,0.3255,-0.4588,0.1591,0.3355,-0.02086,8.70E-03,0.004016,0.4609,-0.01421,0.1097,0.003096,,
70,CMA,Glass,1,14,2.5675,Unbrushed,0.67899,0.6313,0.02256,2423,1001,1186,169.7,1446,2.183,0.9812,39.7,699.2,0.5495,1.635,1.251,248.2,0.2349,0.3648,-0.3174,0.726,4.571,0.005575,0.03774,0.04705,3.758,-0.01126,0.6096,0.03008,,
71,CMA,LDPE,1,14,1.2377,Unbrushed,1.031,1.432,0.03442,438.8,935.3,1126,211.9,290.4,3.895,3.572,107.5,2235,1.384,5.149,4.244,9.993,0.398,0.7424,-0.4678,1.914,4.319,-0.007126,0.03695,0.1718,3.809,-0.003552,1.71,0.04635,,
72,CMA,PLA,1,14,1.2028,Unbrushed,0.27594,0.2704,-0.01547,118,128,150.8,38.31,44.63,0.2826,0.1257,47.66,302.9,0.3427,0.7523,0.7902,1.972,0.04074,0.1536,-0.4605,0.2979,0.7237,-0.008259,0.01782,0.01756,0.7737,-0.01513,0.3096,0.002253,,
73,CMA,Glass,2,14,2.5649,Unbrushed,0.88451,0.8018,0.0271,2960,1171,1382,270.3,1538,1.955,1.436,41.18,915.4,0.6201,2.307,2.109,259.4,0.2948,0.5133,-0.7409,0.9295,5.012,0.003678,0.03592,0.06291,4.192,-0.01084,0.7959,0.04439,,
74,CMA,LDPE,2,14,1.2138,Unbrushed,1.2561,1.482,0.03767,40.79,930.6,1165,216.8,277.7,3.273,3.761,121.2,2267,1.423,5.193,3.864,9.207,0.4041,0.7003,-0.2795,2.044,4.355,-0.0126,0.02311,0.1728,4.793,-0.002035,1.775,0.04935,,
75,CMA,PLA,2,14,1.1965,Unbrushed,0.42566,0.3899,-0.003999,9.057,219.2,274.2,51.51,69.65,0.395,0.4126,58.56,526.4,0.4902,1.264,1.015,2.347,0.09134,0.0871,-0.7455,0.4691,1.132,-0.02314,-0.006921,0.03492,0.9696,-0.01291,0.4638,0.00341,,
76,CMA,Glass,3,14,2.5627,Unbrushed,0.86971,0.6922,0.02707,2331,1043,1224,193.8,1406,1.128,0.9491,46.6,775.2,0.5692,1.9,1.395,234,0.2615,0.2345,-0.3905,0.7859,5.059,0.001065,0.04903,0.05735,3.75,-0.01012,0.6584,0.02594,,
77,CMA,LDPE,3,14,1.2107,Unbrushed,0.97518,0.9798,0.01556,85.13,620.9,741.9,147.6,190.5,2.365,2.122,69.62,1453,0.855,3.374,3.092,6.557,0.2352,0.4921,-0.3463,1.363,3.015,-0.02051,0.01865,0.1199,3.027,-0.008094,1.216,0.03087,,
78,CMA,PLA,3,14,1.209,Unbrushed,0.39337,0.2885,-0.007461,45.92,132.8,156.4,39.18,43.54,0.2867,0.0009121,39.23,298.3,0.3031,0.7288,0.8439,1.985,0.05135,0.05635,-0.435,0.3294,0.7426,-0.03049,0.01833,0.01748,0.8381,-0.01254,0.2503,-0.005323,,
79,CMA,Glass,1,28,2.5679,Brushed,0.90063,0.758,0.02878,2019,1064,1258,234.1,2518,3.479,1.609,317,951,2.098,2.751,2.589,193.7,0.3009,0.5029,-0.3936,0.9286,14.61,-0.01367,0.03578,0.06435,4.482,-0.007293,1.286,0.0397,,
